Security Symbol,Security Name,Industry,snapshot_date,source_url
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
AXISBANK,Axis Bank Ltd.,BANKS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
CIPLA,Cipla Ltd.,PHARMACEUTICALS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
DLF,DLF Ltd.,CONSTRUCTION,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
GAIL,GAIL (India) Ltd.,GAS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
HDFCBANK,HDFC Bank Ltd.,BANKS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
ICICIBANK,ICICI Bank Ltd.,BANKS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
ITC,I T C Ltd.,CIGARETTES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
LT,Larsen & Toubro Ltd.,ENGINEERING,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
NTPC,NTPC Ltd.,POWER,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
PNB,Punjab National Bank,BANKS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
POWERGRID,Power Grid Corporation of India Ltd.,POWER,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
RELCAPITAL,Reliance Capital Ltd.,FINANCE,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
RELIANCE,Reliance Industries Ltd.,REFINERIES,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
RELINFRA,Reliance Infrastructure Ltd.,POWER,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
RPOWER,Reliance Power Ltd.,POWER,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
SBIN,State Bank of India,BANKS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
STER,Sterlite Industries (India) Ltd.,METALS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
TATAPOWER,Tata Power Co. Ltd.,POWER,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
UNITECH,Unitech Ltd.,CONSTRUCTION,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,2010-01-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_jan10.zip
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
AXISBANK,Axis Bank Ltd.,BANKS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
CIPLA,Cipla Ltd.,PHARMACEUTICALS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
DLF,DLF Ltd.,CONSTRUCTION,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
GAIL,GAIL (India) Ltd.,GAS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
HDFCBANK,HDFC Bank Ltd.,BANKS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
ICICIBANK,ICICI Bank Ltd.,BANKS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
ITC,I T C Ltd.,CIGARETTES,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
LT,Larsen & Toubro Ltd.,ENGINEERING,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
NTPC,NTPC Ltd.,POWER,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
PNB,Punjab National Bank,BANKS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
POWERGRID,Power Grid Corporation of India Ltd.,POWER,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
RELCAPITAL,Reliance Capital Ltd.,FINANCE,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
RELIANCE,Reliance Industries Ltd.,REFINERIES,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
RELINFRA,Reliance Infrastructure Ltd.,POWER,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
RPOWER,Reliance Power Ltd.,POWER,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
SBIN,State Bank of India,BANKS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
STER,Sterlite Industries (India) Ltd.,METALS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
TATAPOWER,Tata Power Co. Ltd.,POWER,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
UNITECH,Unitech Ltd.,CONSTRUCTION,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,2010-02-28,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_feb10.zip
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
AXISBANK,Axis Bank Ltd.,BANKS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
CIPLA,Cipla Ltd.,PHARMACEUTICALS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
DLF,DLF Ltd.,CONSTRUCTION,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
GAIL,GAIL (India) Ltd.,GAS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
HDFCBANK,HDFC Bank Ltd.,BANKS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
ICICIBANK,ICICI Bank Ltd.,BANKS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
ITC,I T C Ltd.,CIGARETTES,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
LT,Larsen & Toubro Ltd.,ENGINEERING,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
NTPC,NTPC Ltd.,POWER,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
PNB,Punjab National Bank,BANKS,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
POWERGRID,Power Grid Corporation of India Ltd.,POWER,2010-03-31,https://www.niftyindices.com/Market_Capitalisation_Weightage_Beta_for_NIFTY_50_And_NIFTY_Next_50/mcwb_mar10.zip
