"('date',_'')","('adj_close',_'^nsei')","('close',_'^nsei')","('dividends',_'^nsei')","('high',_'^nsei')","('low',_'^nsei')","('open',_'^nsei')","('repaired?',_'^nsei')","('stock_splits',_'^nsei')","('volume',_'^nsei')"
2010-01-04,5232.2001953125,5232.2001953125,0.0,5238.4501953125,5167.10009765625,5200.89990234375,False,0.0,0
2010-01-05,5277.89990234375,5277.89990234375,0.0,5288.35009765625,5242.39990234375,5277.14990234375,False,0.0,0
2010-01-06,5281.7998046875,5281.7998046875,0.0,5310.85009765625,5260.0498046875,5278.14990234375,False,0.0,0
2010-01-07,5263.10009765625,5263.10009765625,0.0,5302.5498046875,5244.75,5281.7998046875,False,0.0,0
2010-01-08,5244.75,5244.75,0.0,5276.75,5234.7001953125,5264.25,False,0.0,0
2010-01-11,5249.39990234375,5249.39990234375,0.0,5287.2001953125,5227.7998046875,5263.7998046875,False,0.0,0
2010-01-12,5210.39990234375,5210.39990234375,0.0,5300.5,5200.9501953125,5251.10009765625,False,0.0,0
2010-01-13,5233.9501953125,5233.9501953125,0.0,5239.2001953125,5169.5498046875,5212.60009765625,False,0.0,0
2010-01-14,5259.89990234375,5259.89990234375,0.0,5272.85009765625,5232.5,5234.5,False,0.0,0
2010-01-15,5252.2001953125,5252.2001953125,0.0,5279.85009765625,5242.4501953125,5259.89990234375,False,0.0,0
2010-01-18,5274.85009765625,5274.85009765625,0.0,5292.5,5228.9501953125,5253.64990234375,False,0.0,0
2010-01-19,5225.64990234375,5225.64990234375,0.0,5287.7998046875,5218.64990234375,5274.2001953125,False,0.0,0
2010-01-20,5221.7001953125,5221.7001953125,0.0,5256.7001953125,5201.39990234375,5226.10009765625,False,0.0,0
2010-01-21,5094.14990234375,5094.14990234375,0.0,5220.35009765625,5085.4501953125,5220.2001953125,False,0.0,0
2010-01-22,5036.0,5036.0,0.0,5094.14990234375,4954.85009765625,5094.14990234375,False,0.0,0
2010-01-25,5007.89990234375,5007.89990234375,0.0,5035.7001953125,4983.0498046875,5034.5498046875,False,0.0,0
2010-01-27,4853.10009765625,4853.10009765625,0.0,5008.5,4833.0498046875,5008.5,False,0.0,0
2010-01-28,4867.25,4867.25,0.0,4929.89990234375,4824.9501953125,4863.0,False,0.0,0
2010-01-29,4882.0498046875,4882.0498046875,0.0,4893.7001953125,4766.0,4866.14990234375,False,0.0,0
2010-02-01,4899.7001953125,4899.7001953125,0.0,4918.7998046875,4827.14990234375,4882.0498046875,False,0.0,0
2010-02-02,4830.10009765625,4830.10009765625,0.0,4951.14990234375,4814.10009765625,4907.85009765625,False,0.0,0
2010-02-03,4931.85009765625,4931.85009765625,0.0,4949.14990234375,4831.0,4831.0,False,0.0,0
2010-02-04,4845.35009765625,4845.35009765625,0.0,4931.2998046875,4832.35009765625,4931.2998046875,False,0.0,0
2010-02-05,4718.64990234375,4718.64990234375,0.0,4827.0,4692.35009765625,4819.64990234375,False,0.0,0
2010-02-08,4760.39990234375,4760.39990234375,0.0,4799.0498046875,4675.39990234375,4755.35009765625,False,0.0,0
2010-02-09,4792.64990234375,4792.64990234375,0.0,4810.39990234375,4739.35009765625,4760.5498046875,False,0.0,0
2010-02-10,4757.2001953125,4757.2001953125,0.0,4826.85009765625,4748.10009765625,4793.0,False,0.0,0
2010-02-11,4826.85009765625,4826.85009765625,0.0,4843.7998046875,4757.25,4757.25,False,0.0,0
2010-02-15,4801.9501953125,4801.9501953125,0.0,4845.60009765625,4783.89990234375,4827.89990234375,False,0.0,0
2010-02-16,4855.75,4855.75,0.0,4880.0,4791.35009765625,4801.7998046875,False,0.0,0
2010-02-17,4914.0,4914.0,0.0,4929.7001953125,4857.60009765625,4858.64990234375,False,0.0,0
2010-02-18,4887.75,4887.75,0.0,4922.0498046875,4873.7001953125,4915.10009765625,False,0.0,0
2010-02-19,4844.89990234375,4844.89990234375,0.0,4887.2998046875,4805.5498046875,4887.2998046875,False,0.0,0
2010-02-22,4856.39990234375,4856.39990234375,0.0,4912.0498046875,4845.89990234375,4849.35009765625,False,0.0,0
2010-02-23,4870.0498046875,4870.0498046875,0.0,4884.10009765625,4833.14990234375,4856.60009765625,False,0.0,0
2010-02-24,4858.60009765625,4858.60009765625,0.0,4880.5498046875,4834.64990234375,4869.5498046875,False,0.0,0
