nse_symbol,security_names,first_snapshot,last_snapshot,snapshot_count,original_yahoo_ticker,original_yahoo_status,resolved_ticker,resolution_status,notes,resolved_download_status,resolved_price_rows
HEROMOTOCO,HEROMOTOCO | Hero MotoCorp Ltd.,2011-08-31,2019-12-31,100,HEROMOTOCO.NS,ok,HEROMOTOCO.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
HINDALCO,Hindalco Industries Ltd. | HINDALCO,2010-01-31,2019-12-31,119,HINDALCO.NS,ok,HINDALCO.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
HINDPETRO,Hindustan Petroleum Corporation Ltd.,2017-09-30,2019-02-28,17,HINDPETRO.NS,ok,HINDPETRO.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
HINDUNILVR,Hindustan Unilever Ltd. | HINDUNILVR,2010-01-31,2019-12-31,119,HINDUNILVR.NS,ok,HINDUNILVR.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
ICICIBANK,ICICI Bank Ltd. | ICICIBANK,2010-01-31,2019-12-31,119,ICICIBANK.NS,ok,ICICIBANK.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
IDEA,Idea Cellular Ltd.,2010-01-31,2017-02-28,33,IDEA.NS,ok,IDEA.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
INDUSINDBK,IndusInd Bank Ltd.,2013-04-30,2019-12-31,80,INDUSINDBK.NS,ok,INDUSINDBK.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
INFY,Infosys Technologies Ltd. | Infosys Ltd. | INFY,2011-01-31,2019-12-31,103,INFY.NS,ok,INFY.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2463
IOC,Indian Oil Corporation Ltd.,2017-03-31,2019-12-31,33,IOC.NS,ok,IOC.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
ITC,I T C Ltd. | ITC | ITC Ltd.,2010-01-31,2019-12-31,119,ITC.NS,ok,ITC.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
JINDALSTEL,Jindal Steel & Power Ltd. | JINDALSTEL,2010-01-31,2015-02-28,62,JINDALSTEL.NS,ok,JINDALSTEL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
JPASSOCIAT,Jaiprakash Associates Ltd. | JPASSOCIAT,2010-01-31,2014-02-28,50,JPASSOCIAT.NS,ok,JPASSOCIAT.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
JSWSTEEL,JSW Steel Ltd.,2018-09-30,2019-12-31,16,JSWSTEEL.NS,ok,JSWSTEEL.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
KOTAKBANK,Kotak Mahindra Bank Ltd. | KOTAKBANK,2010-04-30,2019-12-31,116,KOTAKBANK.NS,ok,KOTAKBANK.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
LT,Larsen & Toubro Ltd. | LT,2010-01-31,2019-12-31,119,LT.NS,ok,LT.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
LUPIN,Lupin Ltd.,2012-09-30,2018-08-31,71,LUPIN.NS,ok,LUPIN.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
M&M,Mahindra & Mahindra Ltd. | M&M,2010-01-31,2019-12-31,119,M&M.NS,ok,M&M.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
MARUTI,Maruti Suzuki India Ltd. | MARUTI,2010-01-31,2019-12-31,119,MARUTI.NS,ok,MARUTI.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
NESTLEIND,Nestle India Ltd.,2019-09-30,2019-12-31,4,NESTLEIND.NS,ok,NESTLEIND.NS,direct,Direct Yahoo NSE ticker downloaded successfully.,ok,2462
