split,model,nll
train,one_factor_sde,-114.81638947192435
train,rolling20_diag,-107.58312172105416
train,ewma_diag,-108.85388786623672
val,one_factor_sde,-126.9841324779953
val,rolling20_diag,-121.99287487505882
val,ewma_diag,-123.68473439799344
test,one_factor_sde,-111.5004839217226
test,rolling20_diag,-112.98750263392205
test,ewma_diag,-114.80960176875185
