split,count,corr,mae,rmse,lambda_mean,lambda_std
train,67231,-0.04841883841843376,0.011237209080703707,0.015071327284941795,0.0089807054027915,0.010330919176340103
val,16163,0.002425593193951012,0.006249935290277453,0.00807013233246587,-0.003713225945830345,0.00629623606801033
test,14135,0.017166071465997086,0.007420432136327725,0.009949207629854602,0.00280801416374743,0.008216838352382183
