asset_id,count,corr,mae,rmse,qlike,resid_mean,resid_std,sq_lag1_corr
ABB,0,,,,,,,
ACC,0,,,,,,,
ADANIPORTS,347,0.360170440558588,0.004462852094440536,0.006549648312767051,-6.6176667607615105,-0.014296556549900884,1.139307268140094,0.047331991642887795
AMBUJACEM,0,,,,,,,
ASIANPAINT,347,0.5961945533441771,0.0032480597987191305,0.003961550910570908,-7.441158242840985,0.04370244192246872,0.9483802024321178,0.3111099669432296
AUROPHARMA,0,,,,,,,
AXISBANK,347,0.6521074081391334,0.0025871442228298023,0.0033959405349545018,-7.095098063169085,0.056896060386428055,1.0172598433057636,0.15524560801594944
BAJAJ-AUTO,347,0.3377487028818381,0.0033748580937297957,0.004523762182438855,-7.308271533704046,0.0196510898586799,1.0193106097467377,0.09295964222317797
BAJAJFINSV,288,0.4130657706307094,0.004885887009246896,0.006612644479186675,-6.809442553085197,0.06014875474014672,1.0826516339336816,0.06029060973026697
BAJFINANCE,347,0.4746492579999966,0.006066449931272512,0.007798609381943641,-6.577586625163423,0.06856910163696023,1.1236383235615544,0.11737380361831855
BANKBARODA,0,,,,,,,
BHARTIARTL,347,0.3635219652143077,0.004920066111541275,0.006379726841588752,-6.460397179061013,0.03961038331956173,1.211736147887777,0.12014171618867962
BHEL,0,,,,,,,
BOSCHLTD,0,,,,,,,
BPCL,347,0.47217986328399963,0.006460274419390331,0.010842021752119983,-6.17376707741383,0.011616725937652096,1.2347658941154334,0.22878725438264302
BRITANNIA,61,-0.2185788471251651,0.006352993155844876,0.008328723939413037,-6.78315655075918,0.10193965893262293,1.2135539487307372,0.18627786946372948
CAIRN,0,,,,,,,
CIPLA,347,0.3807721080527271,0.003665670348594357,0.004891655873118384,-7.357779673378533,-0.05387137968589545,0.9779615763963577,0.18787767696723331
COALINDIA,347,0.5327438790832927,0.0029507649630329622,0.0037096216226620107,-7.139402629558266,-0.0477490114004769,1.051180384379101,0.019895561841088955
DLF,0,,,,,,,
DRREDDY,347,0.5028148417559273,0.003161513074824549,0.004000497084763153,-7.219284800706707,0.03377474095507671,1.0448455906617216,0.03293433935248163
EICHERMOT,347,0.4675055166933524,0.005381247863409671,0.00725007732082302,-6.388959764022399,-0.06223860856906336,1.1913784896910502,0.05877267911862449
GAIL,347,0.17049745235978572,0.0041555236724422715,0.005430851127877519,-6.726041807570406,-0.06165398129528938,1.1566687356018657,-0.016117281617648145
GRASIM,288,0.40806987796098104,0.00397844719959216,0.005363988592751998,-6.664953998277783,-0.060606232324709554,1.1365959593807025,0.01128133851288417
HCLTECH,347,0.5225129122661906,0.0031496095081914744,0.003968533620897269,-7.350081908287964,0.02681654566580924,0.9911679981787967,0.06622478086445027
HDFC,0,,,,,,,
HDFCBANK,347,0.6205804680354462,0.0032551063973488828,0.0039636728201212345,-7.9435708939009,0.020744962014322823,0.8490884129814259,0.16479573116526283
HEROHONDA,0,,,,,,,
HEROMOTOCO,347,0.3296457446007562,0.004811060325019813,0.005625077830818358,-6.782697659681738,-0.07395624181629899,1.1243274027580776,0.017536568036252517
HINDALCO,347,0.5988189730891793,0.003092344941555251,0.004075139533895461,-6.7398384170126056,-0.031235479915136716,1.0748148780058129,0.0004440437764402861
HINDPETRO,147,0.33942501888359045,0.010632078188667897,0.02091838003818314,-5.3613910989622795,-0.10662369791606087,1.3319408165012854,0.2637894899997551
HINDUNILVR,347,0.5042995425488948,0.003458069311320696,0.003964425375117412,-7.6796188368677445,0.032244277084154165,0.9142699190481688,0.051778596537739884
IBULHSGFIN,268,0.4934061904625244,0.01391213771247708,0.018680345557500158,-4.849779837863567,-0.1102086995953964,1.436727588653662,0.20470065151565228
